node_1|node_2|edge|chunk_id|count
antihypertensive agents|sex-specific analysis|not report|6d56e062ce564a058b7af6530f2bf2a1|4
BP target|individuals aged 60 years and older without diabetes or chronic kidney disease|recommended for|6d56e062ce564a058b7af6530f2bf2a1|4
TC ≥ 200 mg/dL|TC ≥ 240 mg/dL|are related to each other in the context|09939f43c40f4b10b3166292bc835a2b|4
Women ≥ 20 years|United States|are related to each other in the context|09939f43c40f4b10b3166292bc835a2b|4
LDL-C ≥ 130 mg/dL|Women ≥ 20 years|are related to each other in the context|09939f43c40f4b10b3166292bc835a2b|4
HDL-C < 40 mg/dL|Women ≥ 20 years|are related to each other in the context|09939f43c40f4b10b3166292bc835a2b|4
Elevated LDL-C, triglycerides, and non-HDL-C|Low HDL-C|have all been associated with an increased risk for CVD in women as in men|09939f43c40f4b10b3166292bc835a2b|4
Centers for Disease Control and Prevention|Recently reported|are related to each other in the context|09939f43c40f4b10b3166292bc835a2b|4
women|men|less likely to be prescribed statin therapy than|ec11983812da4f25aee69a242b76742f|4
CVD risk|statin therapy|individuals with established CVD, LDL-C ≥  190 mg/dL, diabetes, or an established 10-year CVD risk ≥  7.5% based on the pooled|ec11983812da4f25aee69a242b76742f|4
American College of Cardiology|AHA|recommend statin therapy|ec11983812da4f25aee69a242b76742f|4
cohort risk equation|10-year and lifetime atherosclerotic cardiovascular disease event risk|calculates|1e994013517947bfb0bb1e633601e1c2|4
statin therapy|physician-patient discussion|based on|1e994013517947bfb0bb1e633601e1c2|4
statin therapy|5% to 7.5% 10-year ASCVD risk|recommended for|1e994013517947bfb0bb1e633601e1c2|4
statin therapy|other factors|those with|1e994013517947bfb0bb1e633601e1c2|4
elevated calcium score|family history of premature ASCVD|association|ea764edf9ba04830bcbfe00312ee69ba|4
elevated high-sensitivity C-reactive protein (hs-CRP)|abnormal ankle-brachial index (ABI)|association|ea764edf9ba04830bcbfe00312ee69ba|4
Diabetes Mellitus|hemoglobin A1c|parameter|ea764edf9ba04830bcbfe00312ee69ba|4
gender-based differences|anatomical features|relationship|ea764edf9ba04830bcbfe00312ee69ba|4
vessel sizes|women|difference|ea764edf9ba04830bcbfe00312ee69ba|4
vessel sizes|men|comparison|ea764edf9ba04830bcbfe00312ee69ba|4
left ventricular size|men|smaller in women|efe35ad0a87d446082438b0bd2c66338|4
systolic function|women|greater than men|efe35ad0a87d446082438b0bd2c66338|4
diastolic compliance|women|less in women than men|efe35ad0a87d446082438b0bd2c66338|4
hormonal differences|estrogen|predominantly influential in women|efe35ad0a87d446082438b0bd2c66338|4
hormonal differences|testosterone|predominantly influential in men|efe35ad0a87d446082438b0bd2c66338|4
cardiovascular function differences|women|reduced sympathetic and higher parasympathetic activity than men|efe35ad0a87d446082438b0bd2c66338|4
cardiovascular function differences|men|higher sympathetic activity than women|efe35ad0a87d446082438b0bd2c66338|4
stroke volume|women|10% lower than men|efe35ad0a87d446082438b0bd2c66338|4
Cardiovascular adaptions|Women have an increased pulse rate with increased cardiac output versus men, who have higher blood pressure in response to high stress.|the context refers to the cardiovascular adaptations found between women and men.|883cc3ee06d24d0ba000e34f900a5388|4
Cardiovascular adaptions|Electrocardiographic findings Women have a longer corrected QT interval than men. Women have a shorter PR interval than men.|the context refers to the cardiovascular adaptations found in women compared to men through electrocardiographic findings.|883cc3ee06d24d0ba000e34f900a5388|4
Differences|Table 1. Differences in clinical parameters and manifestations in women compared to men.|the context refers to the differences shown in Table 1.|883cc3ee06d24d0ba000e34f900a5388|4
heart disease-related causes|mortality due to heart disease-related causes in adults with DM|Relation in one sentence|8ff37df50f114dd0b96e430682b5f322|4
adverse CV outcomes|(HbA1c)|Relation in one sentence|8ff37df50f114dd0b96e430682b5f322|4
mortality due to heart disease-related causes in adults with DM|two to four times higher than in those without DM|Relation in one sentence|8ff37df50f114dd0b96e430682b5f322|4
CVD mortality|significant gender difference in type 1 DM|Relation in one sentence|8ff37df50f114dd0b96e430682b5f322|4
type 1 DM|affects women and men equally|Relation in one sentence|8ff37df50f114dd0b96e430682b5f322|4
women with type I DM|37% increased|Relation in one sentence|8ff37df50f114dd0b96e430682b5f322|4
risk of all-cause mortality|twice the excess risk of fatal and nonfatal vascular events|compared to men with type I DM|893dce9a26084c39825556d85497f7dc|4
women with DM|appropriate glycemic control|less likely to have|893dce9a26084c39825556d85497f7dc|4
women with DM|aggressive treatment for many modifiable CAD risk factors|receive less compared to diabetic|893dce9a26084c39825556d85497f7dc|4
ASCVD benefit|intensive versus standard glycemic control|Clinical trial interventions have failed to demonstrate ASCVD benefit with intensive versus standard glycemic control|262b9aac3dcd44e4aa636a967fb5a51c|4
SGLT-2 inhibitors|CVD benefit|Recent trials with newer agents such as SGLT-2 inhibitors have started to show some benefit with respect to CVD|262b9aac3dcd44e4aa636a967fb5a51c|4
HbA1c of < 7%|Applicable guidelines|The current applicable guidelines recommend an HbA1c of < 7%, if achieved without causing significant hypoglycemia, for ASCVD risk reduction|262b9aac3dcd44e4aa636a967fb5a51c|4
Hypertensive Disorders of Pregnancy|NONTRADITIONAL RISK FACTORS|The NONTRADITIONAL RISK FACTORS include Hypertensive Disorders of Pregnancy|262b9aac3dcd44e4aa636a967fb5a51c|4
Hypertensive Disorders of Pregnancy|Pregnancy|cause and effect|a17a3007cd05467ca67752d3798e212f|4
Hypertensive Disorders of Pregnancy|cardiometabolic stressor|related to|a17a3007cd05467ca67752d3798e212f|4
Hypertensive Disorders of Pregnancy|vascular and metabolic abnormalities|unmask underlying|a17a3007cd05467ca67752d3798e212f|4
Hypertension|Pregnancies|affects approximately 10% of|a17a3007cd05467ca67752d3798e212f|4
Hypertension|leading causes of maternal and fetal morbidity and mortality|cause for|a17a3007cd05467ca67752d3798e212f|4
Gestational hypertensive disorders|Diabetes|linked to increased risk of developing hypertension as well as cardiovascular disease later in life|a17a3007cd05467ca67752d3798e212f|4
Hypertension|cardiovascular disease (CVD)|increased risk for|a17a3007cd05467ca67752d3798e212f|4
gestational hypertension disorders|preeclampsia|hypothesis of endothelial dysfunction, oxidative stress, inflammatory response, and increased expression of procoagulants|169e02a6481645109909bb0faa0cad22|4
preeclampsia|CVD|share similar risk factors including obesity, insulin resistance, renal disease|169e02a6481645109909bb0faa0cad22|4
ischemic heart disease|CVD in women|has an increased relative risk for incidence of ischemic heart disease and may be independently associated with CVD in women|34735db0077f4388b79a1eaafbd32097|4
preeclampsia|CVD|recognized as a risk factor for CVD|34735db0077f4388b79a1eaafbd32097|4
AHA|American College of Obstetrics and Gynecology|both organizations are involved in recognizing and assessing related health issues|34735db0077f4388b79a1eaafbd32097|4
yearly assessment|blood pressure, lipids, fasting blood glucose, body mass index|annual evaluation of the mentioned factors following a medical condition or risk factor|34735db0077f4388b79a1eaafbd32097|4
history of recurrent preeclampsia|preeclampsia with preterm birth|relationship between the two concepts, in one sentence|b7fac3ebcdb2414fbe8fd5729808b5bf|4
women with a history of hypertensive disorders during pregnancy|lifestyle modifications|relationship between the two concepts, in one sentence|b7fac3ebcdb2414fbe8fd5729808b5bf|4
history of recurrent preeclampsia or preeclampsia with preterm birth|more aggressive screening|relationship between the two concepts, in one sentence|b7fac3ebcdb2414fbe8fd5729808b5bf|4
Gestational Diabetes|Gestational diabetes mellitus (GDM)|relationship between the two concepts, in one sentence|b7fac3ebcdb2414fbe8fd5729808b5bf|4
normal glucose metabolism|after third trimester of pregnancy|relationship between the two concepts, in one sentence|b7fac3ebcdb2414fbe8fd5729808b5bf|4
pregnancy|glucose metabolism|Returns to normal|a02f6713ba2141ce8bcb194de0c54795|4
GDM|diabetes mellitus|Patients with history have elevated risk|a02f6713ba2141ce8bcb194de0c54795|4
screening and lifestyle modification|more aggressive consideration|Recommended for patients with a history of GDM|a02f6713ba2141ce8bcb194de0c54795|4
Systemic autoimmune disorders|CVD|Associated with|a02f6713ba2141ce8bcb194de0c54795|4
women|men|Tend to affect more often|a02f6713ba2141ce8bcb194de0c54795|4
rheumatoid arthritis|patients with rheumatoid arthritis|Reported to have a|a02f6713ba2141ce8bcb194de0c54795|4
higher risk of myocardial infarction (MI)|systemic lupus erythematosus|Increased the risk of MI between 9- and 50-fold over the general population|117fd34163584b759f3c2285b38348fb|4
higher risk of stroke|systemic lupus erythematosus|Increased the risk of stroke by 50%|117fd34163584b759f3c2285b38348fb|4
inflammatory diseases|microvasculature|Affect the microvasculature|117fd34163584b759f3c2285b38348fb|4
plaque instability|inflammatory diseases|Result in plaque instability|117fd34163584b759f3c2285b38348fb|4
acute CV events|inflammatory diseases|Increase the risk of acute CV events|117fd34163584b759f3c2285b38348fb|4
depression|acute CV events|Postulated that depression affects microvasculature and can result in plaque instability, increasing the risk of acute CV events|117fd34163584b759f3c2285b38348fb|4
Depression|antecedent to heart disease|Described as an antecedent|dedb68e59a554c14893c4a3e0d053b9c|4
NHANES I study|women with depression had a higher relative risk of CAD incidence compared to women without depression|study result|dedb68e59a554c14893c4a3e0d053b9c|4
depression|CV risk factors such as smoking and physical inactivity|associated with|dedb68e59a554c14893c4a3e0d053b9c|4
women|experience depression at approximately twice the rate of men|statistic|dedb68e59a554c14893c4a3e0d053b9c|4
depressed women|higher risk for CVD|studies have suggested|dedb68e59a554c14893c4a3e0d053b9c|4
depression|non-depressed women|differentiation in context|d1d2debda1dd4a8d858975e2a2d03384|4
chest pain|depression and anxiety disorders|association in presenting features|d1d2debda1dd4a8d858975e2a2d03384|4
tachycardia|depression and anxiety disorders|association in presenting features|d1d2debda1dd4a8d858975e2a2d03384|4
clinically appropriate cardiac evaluation|women with such symptoms|need for in context|d1d2debda1dd4a8d858975e2a2d03384|4
treatment of depression|improve cardiac outcomes|uncertainty in context|d1d2debda1dd4a8d858975e2a2d03384|4
Radiation therapy|Breast cancer|treatment for|b4cf928ab1b842d4924569c161962ec8|4
Radiation therapy|Cardiac mortality|associated with increased risk of|b4cf928ab1b842d4924569c161962ec8|4
Radiation therapy|Cardiac morbidity|associated with increased risk of|b4cf928ab1b842d4924569c161962ec8|4
Cigarette smoking|Counselling for cessation|Counselling for cessation is a method to help people quit cigarette smoking|b67b726c793645c5a738a5a4ade44ccc|4
Cigarette smoking|Nicotine replacement|Nicotine replacement can be used as an aid to help people quit cigarette smoking|b67b726c793645c5a738a5a4ade44ccc|4
Cigarette smoking|Pharmacotherapy|Pharmacotherapy is a treatment method that can be applied in conjunction with cessation efforts for cigarette smoking|b67b726c793645c5a738a5a4ade44ccc|4
Lifestyle intervention|Physical activity|Physical activity is one component of a lifestyle intervention.|b67b726c793645c5a738a5a4ade44ccc|4
Physical activity|Moderate exercise|Moderate exercise is one form of physical activity recommended in a lifestyle intervention.|b67b726c793645c5a738a5a4ade44ccc|4
Physical activity|Vigorous exercise|Vigorous exercise is another form of physical activity recommended in a lifestyle intervention.|b67b726c793645c5a738a5a4ade44ccc|4
Physical activity|Muscle strengthening activities|Muscle strengthening activities are an additional component of physical activity in a lifestyle intervention.|b67b726c793645c5a738a5a4ade44ccc|4
Cardiac rehabilitation|Recent acute coronary syndrome|Recommended for women with|9f12fde513e8453b840b639a0f8a132e|4
Cardiac rehabilitation|Revascularization|Recommended for women with|9f12fde513e8453b840b639a0f8a132e|4
Cardiac rehabilitation|CVA|Recommended for women with|9f12fde513e8453b840b639a0f8a132e|4
Cardiac rehabilitation|PAD|Recommended for women with|9f12fde513e8453b840b639a0f8a132e|4
BMI|< 25 kg/m|Recommended to maintain by exercise and appropriate diet|9f12fde513e8453b840b639a0f8a132e|4
Waist size|< 35 inches|Recommended to maintain by exercise and appropriate diet|9f12fde513e8453b840b639a0f8a132e|4
CLINICAL RISK FACTORS TARGETS AND USES IN RISK ASSESSMENT|Blood pressure < 140/90 mm Hg|Recommended|9f12fde513e8453b840b639a0f8a132e|4
High Blood pressure|Consider therapy from one of the indicated classes of antihypertensive drugs|If higher,|9f12fde513e8453b840b639a0f8a132e|4
LDL-C|70-189 mg/dL|at baseline|426fe5b8c62e4adfa880f23ac1d76acc|4
between 70-189 mg/dL|without clinical ASCVD|in ages 40-75 years|426fe5b8c62e4adfa880f23ac1d76acc|4
ASCVD risk score|≥ 7.5%|consider statins for|426fe5b8c62e4adfa880f23ac1d76acc|4
statins|high-intensity statin therapy|warrant due to higher risk|426fe5b8c62e4adfa880f23ac1d76acc|4
ASCVD risk factors|10-year ASCVD risk ≥ 7.5%|indicate higher risk and warrant high-intensity statin therapy ± ezetimibe (or colesevelam)|426fe5b8c62e4adfa880f23ac1d76acc|4
CKD|albuminuria|retinopathy, evidence of subclinical atherosclerosis, elevated lipoprotein(a), or elevated hs-CRP|426fe5b8c62e4adfa880f23ac1d76acc|4
evidence of subclinical atherosclerosis|elevated hs-CRP|indicate higher risk and warrant high-intensity statin therapy ± ezetimibe (or colesevelam)|426fe5b8c62e4adfa880f23ac1d76acc|4
elevated lipoprotein(a)|elevated hs-CRP|indicate higher risk and warrant high-intensity statin therapy ± ezetimibe (or colesevelam)|426fe5b8c62e4adfa880f23ac1d76acc|4
ezetimibe|colesevelam|high-intensity statin therapy|426fe5b8c62e4adfa880f23ac1d76acc|4
Hs-CRP > 3.0 mg/dL|high relative risk|high Hs-CRP level indicates higher relative risk|84b29136123a4ab7945487466274fed7|4
CAC scoring|disease severity|CAC scoring is used to determine the severity of identifiable disease|84b29136123a4ab7945487466274fed7|4
CIMT|routine ASCVD risk assessment|CIMT is not recommended for routine ASCVD risk assessment|84b29136123a4ab7945487466274fed7|4
aspirin|recommended therapy|Aspirin is recommended therapy|84b29136123a4ab7945487466274fed7|4
USPTF|women aged 50-59 years|USPTF recommends aspirin for women aged 50-59 years|84b29136123a4ab7945487466274fed7|4
10% or greater 10-year CVD risk|women aged 50-59 years|Women with 10% or greater 10-year CVD risk benefit from aspirin therapy|84b29136123a4ab7945487466274fed7|4
expert opinion|2013 ACC/AHA Guidelines|Recommendations are based on expert opinion in 2013 ACC/AHA Guidelines|84b29136123a4ab7945487466274fed7|4
cardiovascular diseases|women|interventions for prevention|71f802463a8b426cb8950c2c757b3eb2|4
cerebrovascular accident|current guidelines|assessment and interventions based on|71f802463a8b426cb8950c2c757b3eb2|4
includes stroke or transient ischemic attack|PAD: peripheral arterial disease|are both risk factors|915f6a6608df4ce491fd8a42b4df25be|4
BMI: body mass index|ASCVD: atherosclerotic cardiovascular disease|affects the risk of|915f6a6608df4ce491fd8a42b4df25be|4
CKD: chronic kidney disease|hs-CRP: high-sensitivity C-reactive protein|is associated with|915f6a6608df4ce491fd8a42b4df25be|4
LDL-C: low-density lipoprotein cholesterol|HDL-C: high-density lipoprotein cholesterol|are types of cholesterol|915f6a6608df4ce491fd8a42b4df25be|4
CAC: coronary artery calcium|CIMT : carotid intima–media thickness|are used to assess atherosclerosis risk|915f6a6608df4ce491fd8a42b4df25be|4
Radiation injury|Constrictive pericarditis|cause|2540a9b5e8d34359a912af7a25dab75d|4
Radiation injury|Myocardial fibrosis|cause|2540a9b5e8d34359a912af7a25dab75d|4
Radiation injury|Valvular and coronary artery lesions|cause|2540a9b5e8d34359a912af7a25dab75d|4
Increased risk of cardiovascular mortality|Dose volume of exposure to the heart|proportional to|2540a9b5e8d34359a912af7a25dab75d|4
postoperative radiation therapy|cardiac mortality|positively correlated|9154f7699e0a4c20b85fa7f11e0234aa|4
high-dose volumes|increased mortality|caused by|9154f7699e0a4c20b85fa7f11e0234aa|4
cardiac radiation dose-volume|ischemic heart disease|related to|9154f7699e0a4c20b85fa7f11e0234aa|4
preexisting cardiac risk factors|radiotherapy|greater absolute increase in risk from|9154f7699e0a4c20b85fa7f11e0234aa|4
radiotherapy regimens for breast cancer|women with breast cancer who have undergone therapy|treatment|a4a65d907e4646419bcb1b7c68454e6a|4
radiation|consideration in women with breast cancer|impact|a4a65d907e4646419bcb1b7c68454e6a|4
estrogen|estrogen receptors expressed both in vascular endothelial and smooth muscle cells|role|a4a65d907e4646419bcb1b7c68454e6a|4
estrogen|improves the arterial wall response to injury|benefit|a4a65d907e4646419bcb1b7c68454e6a|4
estrogen|promotes re-endothelialization|function|a4a65d907e4646419bcb1b7c68454e6a|4
smooth muscle cell proliferation|matrix deposition following vascular injury|inhibits|afb6c087fe084b3792a8e7ad9a0729ec|4
Estrogen|coronary artery spasm|prevents through vasodilation mediated by|afb6c087fe084b3792a8e7ad9a0729ec|4
Estrogen|nitric oxide (NO)|increases the production of|afb6c087fe084b3792a8e7ad9a0729ec|4
Estrogen|NO genes|induction of|afb6c087fe084b3792a8e7ad9a0729ec|4
Estrogen|endothelium and smooth muscle cells|impact on|afb6c087fe084b3792a8e7ad9a0729ec|4
Estrogen|cardiomyocytes|affects|afb6c087fe084b3792a8e7ad9a0729ec|4
Estrogen|cardiomyocyte apoptosis|prevents|afb6c087fe084b3792a8e7ad9a0729ec|4
cardiomyocyte hypertrophic response|estrogen|inhibits|1fc4b650dcd44c2ba11d9a797295fadc|4
conflicting data|hypertrophic response|on|1fc4b650dcd44c2ba11d9a797295fadc|4
postmenopausal women|cardioprotective effects of estrogen|lose|1fc4b650dcd44c2ba11d9a797295fadc|4
elevated risk for CVD|postmenopausal women|have an|1fc4b650dcd44c2ba11d9a797295fadc|4
ACC and AHA|menopause as a risk factor|recognize|1fc4b650dcd44c2ba11d9a797295fadc|4
HRT|evidence for promoting|controversial|1fc4b650dcd44c2ba11d9a797295fadc|4
Women’s Health Initiative (WHI) study|estrogen-progestin replacement|had no cardioprotective|1fc4b650dcd44c2ba11d9a797295fadc|4
Harm|HRT|effect and may have produced|3ffb058f21f8413aa8c78b8eb068d1d4|4
Secondary prevention cohort|HERS trials|Similar results in a|3ffb058f21f8413aa8c78b8eb068d1d4|4
HRT|Primary or secondary prevention of CVD|not recommended for|3ffb058f21f8413aa8c78b8eb068d1d4|4
Usage of HRT|WHI findings|As a result, has decreased|3ffb058f21f8413aa8c78b8eb068d1d4|4
Treatment decisions|Perimenopausal women in their 40s and 50s with distressing vasomotor symptoms|These findings have also affected|3ffb058f21f8413aa8c78b8eb068d1d4|4
USPSTF|recommendations|applies to|8979e4452961443fb0b63d6ef5f5ddb4|4
women under age 50|HRT for treatment of menopausal symptoms|do not apply to|8979e4452961443fb0b63d6ef5f5ddb4|4
risks and benefits|patient|should be considered and discussed with|8979e4452961443fb0b63d6ef5f5ddb4|4
pooled cohort risk equation|10-year CVD risk|used to assess|f73beb47e03f4396a3ff3070f71dbc3f|4
United States|current recommendation|for use in|f73beb47e03f4396a3ff3070f71dbc3f|4
future|nontraditional risk factors and markers|should be considered with|f73beb47e03f4396a3ff3070f71dbc3f|4
depression|radiation exposure|among other nontraditional risk factors|f73beb47e03f4396a3ff3070f71dbc3f|4
treatment thresholds|men and women|similar in men and women will need to be further explored|b32cedb5287a4ffe96c8e9858d094b38|4
2011 effectiveness-based guidelines|women|recommended different CVD prevention and treatment strategies specific to women compared to men|b32cedb5287a4ffe96c8e9858d094b38|4
2013 ACC/AHA lipid guidelines|men and women|have similar recommendations for men and women|b32cedb5287a4ffe96c8e9858d094b38|4
CAROTID INTIMA-MEDIA THICKNESS|risk markers|Ten-year risk assessments still have room for improvement; thus|b32cedb5287a4ffe96c8e9858d094b38|4
genetic biomarkers|serum biomarkers|both have been extensively studied in risk stratification|627de5693c7548b1913cf62b3681c913|4
imaging|carotid ultrasound and coronary computed tomography (CT)|have been extensively studied in risk stratification|627de5693c7548b1913cf62b3681c913|4
risk stratification|genetic biomarkers, serum biomarkers, imaging such as carotid ultrasound and coronary computed tomography (CT)|are used in|627de5693c7548b1913cf62b3681c913|4
carotid intima-media thickness (CIMT)/plaque information on a carotid ultrasound|risk prediction for CVD|improves|627de5693c7548b1913cf62b3681c913|4
2010 ACCF/AHA Guideline|endorsed assessment of carotid intima-media thickness (CIMT)/plaque information on a carotid ultrasound|for Assessment of Cardiovascular Risk in Asymptomatic Adults|627de5693c7548b1913cf62b3681c913|4
CT-based coronary calcium score (CAC)|threshold for initiating statin therapy|recommended by the ACC/AHA 2013 lipid guidelines|fb7b868ae52a4383985de90f6d6319fa|4
brachial index|treatment decisions|help to assist|2855388d1c9b4b4fa2aff871f2af7974|4
brachial index|uncertainty|after quantitative risk assessment|2855388d1c9b4b4fa2aff871f2af7974|4
therapies for primary prevention of CVD|statins in prevention|to treat|2855388d1c9b4b4fa2aff871f2af7974|4
JUPITER trial|individuals with a C-reactive protein > 2 mg/dL|included|2855388d1c9b4b4fa2aff871f2af7974|4
JUPITER trial|LDL-C < 130 mg/dL|also included|2855388d1c9b4b4fa2aff871f2af7974|4
REVIEW METHODIST DEBAKEY CARDIOVASC J|13 (4) 2017|is part of|5162569a2f3640d8a55cdeab31b1e77f|4
JOURNAL.HOUSTONMETHODIST.ORG|REVIEW METHODIST DEBAKEY CARDIOVASC J|hosting the journal|5162569a2f3640d8a55cdeab31b1e77f|4
HOPE-3 trial|intermediate-risk subjects without known CVD|focuses on|5162569a2f3640d8a55cdeab31b1e77f|4
statins help in the primary prevention of CVD|HOPE-3 trial|results from|5162569a2f3640d8a55cdeab31b1e77f|4
benefit occurs in both men and women|statins help in the primary prevention of CVD|explains|5162569a2f3640d8a55cdeab31b1e77f|4
CVD|prevention|The primary and secondary prevention of CVD is valuable in both men and women.|6b9f3622e10044c2a7c5ecaeba55658a|4
statin safety data|pregnancy|There is a lack of statin safety data in pregnancy.|6b9f3622e10044c2a7c5ecaeba55658a|4
women of childbearing age|counseling|These women need to be thoroughly counseled on contraceptive use.|6b9f3622e10044c2a7c5ecaeba55658a|4
contraceptive use|avoid pregnancy|Contraceptive use is needed to avoid pregnancy while on statin therapy.|6b9f3622e10044c2a7c5ecaeba55658a|4
statin therapy|secondary prevention of CVD|The use of statin therapy is for the secondary prevention of CVD.|6b9f3622e10044c2a7c5ecaeba55658a|4
aspirin|prevention|established|8dc9a0d8f6b04711857b86a08f40ed7e|4
aspirin|data supporting aspirin use|supporting|8dc9a0d8f6b04711857b86a08f40ed7e|4
aspirin|men|mainly reported in men before 2005|8dc9a0d8f6b04711857b86a08f40ed7e|4
aspirin|women|studied in women after 2005|8dc9a0d8f6b04711857b86a08f40ed7e|4
